北京电信226,#genre#
吉林卫视,http://mail.petzhu.top:7000/rtp/239.254.201.15:6339
江苏卫视,http://mail.petzhu.top:7000/rtp/239.254.200.51:8028
江西卫视,http://mail.petzhu.top:7000/rtp/239.254.201.12:6290
金鹰卡通,http://mail.petzhu.top:7000/rtp/239.254.200.92:9252
辽宁卫视,http://mail.petzhu.top:7000/rtp/239.254.200.57:8056
山东卫视,http://mail.petzhu.top:7000/rtp/239.254.200.55:8052
深圳卫视,http://mail.petzhu.top:7000/rtp/239.254.200.50:8020
四川卫视,http://mail.petzhu.top:7000/rtp/239.254.200.202:6325
天津卫视,http://mail.petzhu.top:7000/rtp/239.254.200.54:1234
浙江卫视,http://mail.petzhu.top:7000/rtp/239.254.200.53:8036
重庆卫视,http://mail.petzhu.top:7000/rtp/239.254.200.203:6323

河南电信250,#genre#
CETV1,http://1.196.152.250:2000/rtp/239.16.10.12:2000
CETV1,http://1.196.152.250:2000/rtp/239.16.20.78:10780
安徽卫视,http://1.196.152.250:2000/rtp/239.16.10.9:2000
安徽卫视,http://1.196.152.250:2000/rtp/239.16.20.75:10750
北京卫视,http://1.196.152.250:2000/rtp/239.16.10.10:2000
北京卫视,http://1.196.152.250:2000/rtp/239.16.20.76:10760
东方卫视,http://1.196.152.250:2000/rtp/239.16.10.7:2000
东方卫视,http://1.196.152.250:2000/rtp/239.16.20.73:10730
东南卫视,http://1.196.152.250:2000/rtp/239.16.10.16:2000
东南卫视,http://1.196.152.250:2000/rtp/239.16.20.82:10820
甘肃卫视,http://1.196.152.250:2000/rtp/239.16.10.114:2000
甘肃卫视,http://1.196.152.250:2000/rtp/239.16.20.102:11020
广东卫视,http://1.196.152.250:2000/rtp/239.16.10.104:2000
广东卫视,http://1.196.152.250:2000/rtp/239.16.20.98:10980
广西卫视,http://1.196.152.250:2000/rtp/239.16.10.18:2000
广西卫视,http://1.196.152.250:2000/rtp/239.16.20.84:10840
贵州卫视,http://1.196.152.250:2000/rtp/239.16.10.15:2000
贵州卫视,http://1.196.152.250:2000/rtp/239.16.20.81:10810
海南卫视,http://1.196.152.250:2000/rtp/239.16.10.43:2000
海南卫视,http://1.196.152.250:2000/rtp/239.16.20.97:10970
河北卫视,http://1.196.152.250:2000/rtp/239.16.10.22:2000
河北卫视,http://1.196.152.250:2000/rtp/239.16.20.88:10880
黑龙江卫视,http://1.196.152.250:2000/rtp/239.16.10.105:2000
黑龙江卫视,http://1.196.152.250:2000/rtp/239.16.20.99:10990
湖北卫视,http://1.196.152.250:2000/rtp/239.16.10.21:2000
湖北卫视,http://1.196.152.250:2000/rtp/239.16.20.87:10870
湖南卫视,http://1.196.152.250:2000/rtp/239.16.10.6:2000
湖南卫视,http://1.196.152.250:2000/rtp/239.16.20.72:10720
吉林卫视,http://1.196.152.250:2000/rtp/239.16.10.28:2000
吉林卫视,http://1.196.152.250:2000/rtp/239.16.20.94:10940
江苏卫视,http://1.196.152.250:2000/rtp/239.16.10.8:2000
江苏卫视,http://1.196.152.250:2000/rtp/239.16.20.74:10740
江西卫视,http://1.196.152.250:2000/rtp/239.16.10.23:2000
江西卫视,http://1.196.152.250:2000/rtp/239.16.20.89:10890
金鹰卡通,http://1.196.152.250:2000/rtp/239.16.10.115:2000
金鹰卡通,http://1.196.152.250:2000/rtp/239.16.20.104:11040
辽宁卫视,http://1.196.152.250:2000/rtp/239.16.10.29:2000
辽宁卫视,http://1.196.152.250:2000/rtp/239.16.20.95:10950
山东卫视,http://1.196.152.250:2000/rtp/239.16.10.14:2000
山东卫视,http://1.196.152.250:2000/rtp/239.16.20.80:10800
陕西卫视,http://1.196.152.250:2000/rtp/239.16.10.17:2000
陕西卫视,http://1.196.152.250:2000/rtp/239.16.20.83:10830
深圳卫视,http://1.196.152.250:2000/rtp/239.16.10.11:2000
深圳卫视,http://1.196.152.250:2000/rtp/239.16.20.77:10770
四川卫视,http://1.196.152.250:2000/rtp/239.16.10.20:2000
四川卫视,http://1.196.152.250:2000/rtp/239.16.20.86:10860
天津卫视,http://1.196.152.250:2000/rtp/239.16.10.30:2000
天津卫视,http://1.196.152.250:2000/rtp/239.16.20.96:10960
云南卫视,http://1.196.152.250:2000/rtp/239.16.10.19:2000
云南卫视,http://1.196.152.250:2000/rtp/239.16.20.85:10850
浙江卫视,http://1.196.152.250:2000/rtp/239.16.10.5:2000
浙江卫视,http://1.196.152.250:2000/rtp/239.16.20.71:10710
重庆卫视,http://1.196.152.250:2000/rtp/239.16.10.13:2000
重庆卫视,http://1.196.152.250:2000/rtp/239.16.20.79:10790

黑龙江ottrrs,#genre#
安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8
东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
广西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226549/index.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
河北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
河南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226419/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226467/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226525/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226531/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226532/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226582/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226585/index.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225627/index.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8
吉林卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225613/index.m3u8
