北京电信226,#genre#
CCTV2,http://gs.jianghua.fun:8888/udp/239.77.1.158:5146
CCTV3,http://gs.jianghua.fun:8888/udp/239.77.0.169:5146
CCTV3,http://gs.jianghua.fun:8888/udp/239.77.0.175:5146
CCTV4,http://gs.jianghua.fun:8888/udp/239.77.0.78:5146
CCTV4,http://gs.jianghua.fun:8888/udp/239.77.1.163:5146
CCTV4,http://gs.jianghua.fun:8888/udp/239.77.1.166:5146
CCTV4K,http://gs.jianghua.fun:8888/udp/239.77.0.174:5146
CCTV4K,http://gs.jianghua.fun:8888/udp/239.77.0.194:5146
CCTV5,http://gs.jianghua.fun:8888/udp/239.77.0.170:5146
CCTV5,http://gs.jianghua.fun:8888/udp/239.77.0.177:5146
CCTV5+,http://gs.jianghua.fun:8888/udp/239.77.0.87:5146
CCTV5+,http://gs.jianghua.fun:8888/udp/239.77.1.31:5146
CCTV6,http://gs.jianghua.fun:8888/udp/239.77.0.171:5146
CCTV6,http://gs.jianghua.fun:8888/udp/239.77.0.178:5146
CCTV7,http://gs.jianghua.fun:8888/udp/239.77.0.138:5146
CCTV7,http://gs.jianghua.fun:8888/udp/239.77.1.159:5146
CCTV7,http://gs.jianghua.fun:8888/udp/239.77.1.167:5146
CCTV8,http://gs.jianghua.fun:8888/udp/239.77.0.172:5146
CCTV8,http://gs.jianghua.fun:8888/udp/239.77.0.181:5146
CCTV9,http://gs.jianghua.fun:8888/udp/239.77.0.135:5146
CCTV9,http://gs.jianghua.fun:8888/udp/239.77.1.160:5146
CCTV9,http://gs.jianghua.fun:8888/udp/239.77.1.168:5146
CCTV10,http://gs.jianghua.fun:8888/udp/239.77.0.134:5146
CCTV10,http://gs.jianghua.fun:8888/udp/239.77.1.113:5146
CCTV10,http://gs.jianghua.fun:8888/udp/239.77.1.169:5146
CCTV11,http://gs.jianghua.fun:8888/udp/239.77.1.238:5146
CCTV11,http://gs.jianghua.fun:8888/udp/239.77.1.108:5146
CCTV12,http://gs.jianghua.fun:8888/udp/239.77.0.136:5146
CCTV12,http://gs.jianghua.fun:8888/udp/239.77.1.109:5146
CCTV12,http://gs.jianghua.fun:8888/udp/239.77.1.170:5146
CCTV13,http://gs.jianghua.fun:8888/udp/239.253.43.196:5146
CCTV13,http://gs.jianghua.fun:8888/udp/239.77.0.188:5146
CCTV14,http://gs.jianghua.fun:8888/udp/239.77.0.133:5146
