北京电信226,#genre#
茶频道,http://iku.sunnyli.link:4144/udp/239.252.220.160:5140
电影测试4K,http://iku.sunnyli.link:4144/udp/239.252.220.212:5140
东方财经,http://iku.sunnyli.link:4144/udp/239.252.219.57:5140
都市剧场,http://iku.sunnyli.link:4144/udp/239.252.219.225:5140
欢笑剧场,http://iku.sunnyli.link:4144/udp/239.252.219.224:5140
纪实科教,http://iku.sunnyli.link:4144/udp/239.252.220.245:5140
纪实人文,http://iku.sunnyli.link:4144/udp/239.252.219.227:5140
金鹰纪实,http://iku.sunnyli.link:4144/udp/239.252.220.155:5140
精彩影视,http://iku.sunnyli.link:4144/udp/239.252.220.223:5140
快乐垂钓,http://iku.sunnyli.link:4144/udp/239.252.220.177:5140
梨园频道,http://iku.sunnyli.link:4144/udp/239.252.220.179:5140
求索记录,http://iku.sunnyli.link:4144/udp/239.252.220.224:5140
文物宝库,http://iku.sunnyli.link:4144/udp/239.252.220.158:5140
武术世界,http://iku.sunnyli.link:4144/udp/239.252.220.180:5140
IPTV体育,http://iku.sunnyli.link:4144/udp/239.252.220.211:5140

辽宁联通97,#genre#
动漫秀场,http://175.147.113.97:8888/rtp/232.0.0.128:1234
都市剧场,http://175.147.113.97:8888/rtp/232.0.0.149:1234
法治天地,http://175.147.113.97:8888/rtp/232.0.0.134:1234
欢笑剧场4K,http://175.147.113.97:8888/rtp/232.0.0.98:1234
纪实科教,http://175.147.113.97:8888/rtp/232.0.0.162:1234
纪实人文,http://175.147.113.97:8888/rtp/232.0.0.132:1234
家庭理财,http://175.147.113.97:8888/rtp/232.0.0.39:1234
金色学堂,http://175.147.113.97:8888/rtp/232.0.0.133:1234
金鹰纪实,http://175.147.113.97:8888/rtp/232.0.0.163:1234
乐游,http://175.147.113.97:8888/rtp/232.0.0.108:1234
晴彩广场舞,http://175.147.113.97:8888/rtp/232.0.0.64:1234
晴彩竞技,http://175.147.113.97:8888/rtp/232.0.0.19:1234
晴彩篮球,http://175.147.113.97:8888/rtp/232.0.0.24:1234
晴彩青少,http://175.147.113.97:8888/rtp/232.0.0.62:1234
生活时尚,http://175.147.113.97:8888/rtp/232.0.0.107:1234
新动漫,http://175.147.113.97:8888/rtp/232.0.0.36:1234
游戏风云,http://175.147.113.97:8888/rtp/232.0.0.127:1234

辽宁联通pecmd,#genre#
动漫秀场,http://gang.pecmd.cn:6000/rtp/232.0.0.128:1234
都市剧场,http://gang.pecmd.cn:6000/rtp/232.0.0.149:1234
法治天地,http://gang.pecmd.cn:6000/rtp/232.0.0.134:1234
欢笑剧场4K,http://gang.pecmd.cn:6000/rtp/232.0.0.98:1234
纪实科教,http://gang.pecmd.cn:6000/rtp/232.0.0.162:1234
纪实人文,http://gang.pecmd.cn:6000/rtp/232.0.0.132:1234
家庭理财,http://gang.pecmd.cn:6000/rtp/232.0.0.39:1234
金色学堂,http://gang.pecmd.cn:6000/rtp/232.0.0.133:1234
金鹰纪实,http://gang.pecmd.cn:6000/rtp/232.0.0.163:1234
