HLJ-1a0b-4001,#genre#
CCTV11,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010092/1.m3u8
CCTV12,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010205/1.m3u8
CCTV13,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010093/1.m3u8
CCTV14,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010207/1.m3u8
CCTV15,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010094/1.m3u8
CCTV16,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010142/1.m3u8
CCTV17,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010210/1.m3u8

hainan-5e01-20,#genre#
CCTV1,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000131/index.m3u8?IAS
CCTV2,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000372/index.m3u8?IAS
CCTV3,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000382/index.m3u8?IAS
CCTV4,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000485/index.m3u8?IAS
CCTV5,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000376/index.m3u8?IAS
CCTV5,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000461/index.m3u8?IAS
CCTV5+,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000132/index.m3u8?IAS
CCTV6,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000379/index.m3u8?IAS
CCTV7,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000380/index.m3u8?IAS
CCTV8,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000371/index.m3u8?IAS
CCTV9,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000373/index.m3u8?IAS
CCTV10,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000375/index.m3u8?IAS
CCTV11,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000497/index.m3u8?IAS
CCTV12,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000377/index.m3u8?IAS
CCTV13,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000516/index.m3u8?IAS
CCTV14,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000378/index.m3u8?IAS
CCTV15,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000501/index.m3u8?IAS
CCTV17,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000494/index.m3u8?IAS
CGTNDocumentary,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000528/index.m3u8?IAS

甘肃-74d9-6,#genre#
CCTV1,http://[2409:8087:74d9:21::6]/270000001111/1110000202/index.m3u8
CCTV1,http://[2409:8087:74d9:21::6]/270000001111/1110000301/index.m3u8
CCTV1,http://[2409:8087:74d9:21::6]/270000001128/9900000001/index.m3u8
CCTV1,http://[2409:8087:74d9:21::6]/270000001128/9900000501/index.m3u8
CCTV1,http://[2409:8087:74d9:21::6]/270000001322/69900158041111100000002133/index.m3u8
CCTV2,http://[2409:8087:74d9:21::6]/270000001111/1110000302/index.m3u8
CCTV2,http://[2409:8087:74d9:21::6]/270000001128/9900000502/index.m3u8
CCTV2,http://[2409:8087:74d9:21::6]/270000001322/69900158041111100000002135/index.m3u8
CCTV3,http://[2409:8087:74d9:21::6]/270000001111/1110000303/index.m3u8
CCTV3,http://[2409:8087:74d9:21::6]/270000001128/9900000003/index.m3u8
CCTV4,http://[2409:8087:74d9:21::6]/270000001128/9900000503/index.m3u8
CCTV5,http://[2409:8087:74d9:21::6]/270000001111/1110000305/index.m3u8
CCTV5,http://[2409:8087:74d9:21::6]/270000001128/9900000005/index.m3u8
CCTV5+,http://[2409:8087:74d9:21::6]/270000001111/1110000306/index.m3u8
CCTV5+,http://[2409:8087:74d9:21::6]/270000001128/9900000507/index.m3u8
CCTV5+,http://[2409:8087:74d9:21::6]/270000001322/69900158041111100000002139/index.m3u8
CCTV6,http://[2409:8087:74d9:21::6]/270000001111/1110000307/index.m3u8
CCTV6,http://[2409:8087:74d9:21::6]/270000001128/9900000006/index.m3u8
CCTV7,http://[2409:8087:74d9:21::6]/270000001128/9900000504/index.m3u8
CCTV8,http://[2409:8087:74d9:21::6]/270000001111/1110000309/index.m3u8
CCTV8,http://[2409:8087:74d9:21::6]/270000001128/9900000008/index.m3u8
CCTV9,http://[2409:8087:74d9:21::6]/270000001128/9900000505/index.m3u8
CCTV9,http://[2409:8087:74d9:21::6]/270000001322/69900158041111100000002144/index.m3u8
CCTV10,http://[2409:8087:74d9:21::6]/270000001128/9900000506/index.m3u8
CCTV10,http://[2409:8087:74d9:21::6]/270000001322/69900158041111100000002146/index.m3u8
CCTV11,http://[2409:8087:74d9:21::6]/270000001128/9900000508/index.m3u8
CCTV12,http://[2409:8087:74d9:21::6]/270000001128/9900000509/index.m3u8
CCTV12,http://[2409:8087:74d9:21::6]/270000001322/69900158041111100000002147/index.m3u8
CCTV13,http://[2409:8087:74d9:21::6]/270000001111/1110000314/index.m3u8
CCTV13,http://[2409:8087:74d9:21::6]/270000001128/9900000510/index.m3u8
CCTV14,http://[2409:8087:74d9:21::6]/270000001128/9900000511/index.m3u8
CCTV14,http://[2409:8087:74d9:21::6]/270000001322/69900158041111100000002148/index.m3u8
CCTV15,http://[2409:8087:74d9:21::6]/270000001128/9900000512/index.m3u8
CCTV16,http://[2409:8087:74d9:21::6]/270000001128/9900000016/index.m3u8
CCTV17,http://[2409:8087:74d9:21::6]/270000001111/1110000391/index.m3u8
CCTV17,http://[2409:8087:74d9:21::6]/270000001128/9900000513/index.m3u8
